1	Niin , sen uuden ystävän löytäminen oli todella hyvä asia .	pos,pos,pos
2	Äänet meni hieman hukkaan , mutta tulihan hyvä oppositiopuolue .	pos,pos
3	Niele propaganda !	neg,neg
4	NO sanoisi sitten olevan jotain sisäpiiriläisiä siis töissä tai sitten tuttu olisi töissä ja olisi sitä kautta sen kuullut , mutta kun vaan heittää huhun ilmaan niin varsinkaan tällä palstalla ei voi luottaa yhteenkään kirjoitukseen missä ei ole minkään sortin lähdettä kauta muuten yritetty todistaa edes huhun olemassa oloa .	neu,neu
5	EU:ssa tukien lopetamista on vaatinut Euroopan liberaalidemokraattinen ryhmä , johon Kepukin kuuluu .	neg,neu
6	Erään kisamatkan päätteeksi joukkue lähti viettämään iltaa ulos .	neu,neu
7	Minä olen paras , kaunein , komein .	pos,pos
8	Kyllä jämpti on niin ...	neu,neu
9	.. Läpinäkyvää ja näitä vaaleja ei ratkaista taustapentujen suitsutus- kirjoitusten perusteella vaan kansalaisten omien mielipiteiden mukaan .	neu,pos
10	kyllä sodan alkaessa marsalkka ja Ranskan valtauksen jälkeen valtakunnanmarsalkka .	neu,neu
11	Kuka nyt puolustaa vanhuksia , kun demaritkin menivät kokoomuksen vipuun ?	neg,neg,neg
12	Se on kyllä vähän hankalaa ensikertalaiselle ja ensikertalaiselle on muutenkin paljon uutta , eikä aika millään riitä kaikkeen .	neg,neg
13	Ei aina tarvi ajatella , että sinne mennään huoraamismielessä .	pos,neg
14	.. naisia ei ´oikea mies´siis saisi edes katsella ?	neg,neg
15	Kyllä kreikkalaisilla on oikeus itse päättää mitä ne meidän rahoillamme tekevät .	pos,neg
16	Rosatomin mahdollinen toiminta Suomessa on selkeästi valtapoliittista strategiaa , kuten kaikki merkittävä , johon Venäjä on sekaantunut .	neu,neg
17	Just joo .	neg,neu
18	eli mis se ammatti ratkasee ?	neu,neu
19	3 kk vanha ja ulkomaille , huh !	neg,neg
20	Timantit ja muut käyttökelvoton Roska on arvotonta kun kunnon katastrofi iskee .	neg,neg
21	Aivan varmasti sossut käyttävät tuota kerrointa vit tuil lakseen asiakkailleen .	neg,neg
22	Muistan hyvin kun etenkin nämä Jyrki ja Aleksader olivat ihan ekstaasissa kun pääsivät näkemään oikea esikuvansa läheltä ja ehkä kysymään häneltä pikkuvinkkejä .	neu,neg
23	SSSS Ry !	neu,pos
24	Kovasti vaan mies sinne mielii ja viimeviikolla karkotettiin taas kerran maasta ja palautettiin Suomeen .	neg,neu
25	Neuropaattinen kipu on lähinä aistiharha , eli hermovauriosta johtuva aivojen tulkintavirhe .	neu,neu
26	Halonen on aina ollut vastenmielinen Afrikassa !	neg,neg
27	Suomi soti Neuvostoliittoa vastaan , jonka johtaja oli georgialainen .	neu,neu
28	Sinun ei ehkä kannattaisi saarnata luetun ymmärtämisestä , kun se itseltäsi tunnu oikein luonnistuvan .	neg,neg
29	Suomen onneksi perSS on oppositiossa !	pos,pos
30	Asiantuntijoilla on peruste aselakien tiukennuksen puolesta , koska jostakin minä ainakin muistan lukeneeni , että Suomi on USA : n jälkeen asevapaamielisin maa , ja se ei ole todellakaan hyvä asia , kun maassa on noin viisi miljoonaa ihmistä .	neg,neg
31	Ei näy muuttuneen miksikään .	neu,neg,neg
32	näyttää olevan aika halpa paikka joten laadussa voit joutua tinkimään .	neg,neg
33	Kokoomuksen johtama porvarihallitus on luonnollinen paikka porvaripuolue Perussuomalaisille vaikka perussuomalaiset pitävät kokoomuslaisia liian paljon sosialismiiin kallellaan .	neu,neg
34	Kysykää apteekista että mitä kannattaa ottaa mukaan matkalle .	neu,neu
35	Turkki nostaa profiiliaan kaikilla suunnilla ja on aivan eri sarjaan kuin Kreikka .	pos,pos
36	Jäsenmaat vastaavat ensisijaisesti oman alueensa puolustuksesta .	neu,neu
37	Noh ... ulkomaille rahaa on kivempi pumpata .	neu,neg
38	Hyvinvointi tarkoittaa mahdollisuuksia , mutta jos haluat valita ettet käytä mahdollisuuksia niinkin saa tehdä .	pos,neu
39	Hassu .	pos,pos
40	Olkaa hyvä vaan .	pos,pos
41	Taisi mennä omiin pöksyihisi	neu,neg
42	Siinä siis omaa tilannettani mutta kommentoidakseni sinua , kuten varmasti meitä kaikkia muitakin , me teemme omat ratkaisut elämässämme .	pos,neu
43	Se hyötyy mahtavasti valtioiden velkaantumisesta ja lopulta kaikki koneistot valttaansa .	neu,neg
44	) murha , joka tosiasiassa oli Habsburg perheen itsensä järjestämä , samoin kuin sota Serbian kanssa .	neg,neg
45	Noin muuten karppaamisesta omalla kohdalla - paino putosi ja olo oli virkeä mutta koin homman käytännössä hankalaksi .	neg,neg
46	Kun me kansalaiset aletaan luopua toivosta , aletaan ryypätä ja heittää roskikseen kaikki yritteliäisyys , koska kankkaulan kaivoon maksetaan jatkossakin .	neg,neg
47	Tietenkin jossain se kivun sietämisen rajakin kulkee .	neg,neu
48	Tänään otin leikkurin taas käyttöön , kun ostin eilen uuden leivän .	pos,neu
49	Perusteena oli maaseutujen väkimäärän pieneneminen kaupunkiin muuton myötä ja äänestäjäkunnan ukkoutuminen ja kuoleminen pois .	neu,neu
50	kauniita , solakoita , hyväkuntoisia , kaunishampaisia , hymyileviä , nauravaisia , lahjakkaita ja ihania !	pos,pos
51	Asiat menee eteenpäin ja hyvä näin .	pos,pos
52	Perjantaina Espanjan valtiovarainministeri Luis de Guindos yritti vakuuttaa maailmaa , että tämä valtava kansantalous pärjää omillaan eikä tarvitse pelastuspaketteja .	pos,neu
53	On hyvä että raitis olet .	pos,pos
54	Rupesivat toisiaan haukkumaan ja kilpaa puukottamaan toisiaan selkään .	neg,neu
55	Se onkin ihan turhaa polttoaineen ja luonnonvarojen tuhlausta tuo laivoilla ja autoilla edes takas pörrääminen .	neg,neg
56	Hänestä sanotaan : Messias , Daavidin Poika , ei tule muutoin kuin sukupolven aikana , joka on kokonaan vanhurskas tai kokonaan syntinen , syyllinen .	neu,neu
57	Kohta ollaan sodassa kaikki kaikkia vastaan .	neg,neg
58	Usko ei ole kuin evoluutio-oppi , minkä muuttuu kerran kaksi vuodessa , vaan usko on Jumalan lahja katuvalle syntiselle , missä saadaan varmuus asioista ja eteenkin syntien anteeksisaamisesta ja pelastuksesta .	neu,pos
59	Jos lukee viihdettä , niin sekin on viisasta , pysyypähän pois tekemästä jotain sitä pahempaa .	pos,pos
60	Ei ole vapautta täyttää paperilla , että työtön , työtön ... Itse kieltäydyn selittämästä elämääni tai rahojani kenellekkään .	neg,neg
61	Yritätte alentaa Jeesusta luoduksi olennoksi ja enkeliksi .	neg,neg
62	Kaikista huono-osaisimmat kun eivät edes osaa hakea kaikkia heille kuuluvia tukia .	neu,neg
63	Hei Kaikki !	neu,neu
64	Mainitsemani miehen sisar oli myös pitkähkö , mutta ei ikäisekseen niin poikkeavan pitkä .	pos,neu
65	Raha on kusetus ja nämä talouskriisit , eurokriisit ja mitä muita nimiä nyt onkaan ovat vain tehty peittelemään tätä asiaa .	neg,neg
66	Kreikan hallitusta painostetaan mellakoiden väkivaltaiseen tukahduttamiseen ja suomalaisturisti viitsii itkeä painajaisestaan lennonjohtajien lakon takia .	neg,neg
67	Kuvittelin , että ap : n vaimo tiedostaa oman tilanteensa ja olisi vallitsevaan olotilaansa tyytymätön .	neu,neu
68	Aiheuttamalla maailmanlaajuisen nälänhädän he saavat siten kaiken vallan .	neg,neg
69	Mutta onhan sitä reuhuttukin jo tässäkin välissä aikas paljon , terveenä ja vähemmän terveenäkin :-( Öitä sinne vaan , meikä alakaa rentoutumaan , tulikin ihan täys päivä !	neu,pos
70	Kehityksen myötä vaikutteita ja tekniikoita eri budolajeista tuntuu vaan sitten jostain tulevan mukaan harjoitteisiin ns. virallisen etiketin ulkopuolelta .	neu,neu
71	Suomi aloitti edellisen sodan !	neu,neu
72	Tässä ketjussa oli tarkoitus kertoa veloissa elävien perheiden kokemuksista , oletteko sellaisia ?	neu,neu
73	No , nettiaarnoltin tuhannet nikit tietysti lisäävät joukkoanne aivan valtavasti :D Jos kysyjin määrällä ei olekaan väliä niin sittenhän tappi voikin kertoa miten hän suhtautuu hurrivihan lietsontaan ja ruotsinkielisten suomalaisten mustamaalaamiseen ja perusteettomien ja jopa valheellisten väitteiden levittämiseen siinä tarkoituksessa ja miksi hän asettuu poikkeuksetta puolustamaan ja tukemaan sellaista toimintaa ?	neg,neg
74	Ei ole myöskään yritysten ja työntekijöiden etu , että perijöitä ohjataan omistamaan yritys , vaikka osaamista ja halua yrittämiseen ei olisi .	neu,neg
75	Vaikka joskus väärässäkin , niin silti ne perustellut mielipiteet on eriarvoisia kuin vain jos ollaan viehättävä nainen .	neg,neu
76	Muistelen , jotenkin muistelen , jos oikein muistan , muistellen jos muistan , niin muistan jotenkin muistellen .	neu,neu
77	Mutta ehkä se löytyy siitä , kun tarpeeksi tappiolla myy , pärjää jotenkin .	neu,neu
78	This message has been removed by .	neu,neu
79	40 vuotta työelämässähän on auttamattomasti liian vähän .	neg,neg
80	Harjoituksista päätellen azerien laulu sujuu paremmin mutta Elnurin pitäisi kyllä nousta tuolistaan lavalla vähän vikkelämmin jos lavakoreografiaa saa arvostella .	pos,neu
81	niinkun mä vähä pelkäsinkin , ei laskua mutta ei nousuakaan ja se on pääasia !! mutta mittanauhan mukaan - 2cm olis lähteny .. mitenlie mahdollista kun vaaka ei heivahtanutkaan .. tai jos vaikka olis saanu sinne vatsaan vähä lihaksia ja sen takia pienentyny :D sehän mulla oli päätavotekkin :))) ite olen tyytyväinen ja jos ens viikolla sit taas sais miinuslukemia vaakaankin ;) mites muut ??? :)	pos,pos
82	Minen käsitä , olen tyhmä .	neg,neg
83	Eivät nuo minusta kykene perustelemaan lainkaan aborttikieltoa .	neu,neu
84	Vanhaa velkaa ei lyhennetä , ja erääntyvät vanhat lainat korvataan uudella lainalla .	neu,neg
85	Niin kallis oli sielu , että uskovainen antoi rakkaan veljensä puolesta elämänsä , että tuo veli pelastuisi ja tulisi tuntemaan Jeesuksen .! Jotain tämän kaltaista oli Jumalan RAKKAUS sinua ja minua syntisiä kohtaan , että Isä antoi ainokaisen rakkaan Poikansa , ristille .	pos,pos
86	Joku tuskaili Hämeenlinnan politiikkkaa , että pahinta on voimattomuus .	neg,neg
87	Lähinnä olen huolissani Etelä-Suomen kaljabaaribisneksen puolesta .	neg,neu
88	Muistutan kuitenkin , että verotajalla on hyvin pitkä käsi ja etenkin nykyisen teknologian aikana ja hyvä näin .	neu,pos
89	tosin sinä et ole sitäkään , olet pelkkä ääliö .	neg,neg
90	Päinvastaistakin voi tapahtua sillä olenpa joskus itsekin saanut positiivisia kommentteja omasta murteestani eikä kuulija ole pitänyt sitä millään tapaa huonona asiana vaikka siis puhuinkin kuten olen aina puhunut .	pos,pos
91	Ystävysty suomalaisten miesten kanssa , ehkä heidän kaveripiiriinsä kuuluu joku kiva nainen .	pos,pos
92	Osa elää laskujen kanssa niin , että kriittiset karhut maksetaan viime hetkellä .	neg,neu
93	Jos olet hetero , kannattaa ottaa matka huumorilla ...; - )	pos,pos
94	Toimivaltaisuutta on presidentin virkan asettaminen , kansalaisuuden myöntäminen , sote uudistus , ei toimivaltaiset oikeuden käynnit jne.	neg,neu
95	Toisaalta suomalaisen poliittisen johdon tieto siitä , että Saksa tulisi hyökkäämään Neuvostoliittoon myös valloitetun Norjan kautta , ajoi Suomea pakkovalinnan eteen .	neu,neu
96	Monet ulkomaalaiset tulevat Suomeen , siihen ei tarvita mitään hirveää omaisuutta .	neu,neu
97	Kiusaa se on pienikin kiusa .	pos,neg
98	Oli meinaan hyvä kauppa , en vai-vautunu kertaakaan edes käymään koko rämettä kattomassa , mutta rahaa vain tuli .	pos,pos
99	Trocaredokin on suljettuna ollut pari kuukautta .	neg,neu
100	Monen talousviisaan mielestä tämä olisi ollut koko Euroopalle silloin hyvä asia .	neu,neu
